experiment,epoch,configuration,val_accuracy,train_accuracy
configuration_5x5_5x5,1,"conv5x5,conv5x5",0.4956,0.4887
configuration_5x5_5x5,2,"conv5x5,conv5x5",0.3843,0.3850166666666667
configuration_5x5_5x5,3,"conv5x5,conv5x5",0.5148,0.5102
configuration_5x5_5x5,4,"conv5x5,conv5x5",0.6568,0.6515666666666666
configuration_5x5_5x5,5,"conv5x5,conv5x5",0.7384,0.7284666666666667
configuration_5x5_5x5,6,"conv5x5,conv5x5",0.7474,0.7386833333333334
configuration_5x5_5x5,7,"conv5x5,conv5x5",0.7524,0.7457166666666667
configuration_5x5_5x5,8,"conv5x5,conv5x5",0.7582,0.7516166666666667
configuration_5x5_5x5,9,"conv5x5,conv5x5",0.7662,0.7617833333333334
configuration_5x5_5x5,10,"conv5x5,conv5x5",0.8288,0.82055
configuration_5x5_5x5,11,"conv5x5,conv5x5",0.8402,0.83095
configuration_5x5_5x5,12,"conv5x5,conv5x5",0.8442,0.8374
configuration_5x5_5x5,13,"conv5x5,conv5x5",0.8484,0.8414333333333334
configuration_5x5_5x5,14,"conv5x5,conv5x5",0.8519,0.8444833333333334
configuration_5x5_5x5,15,"conv5x5,conv5x5",0.8539,0.84745
configuration_5x5_5x5,16,"conv5x5,conv5x5",0.8558,0.8503666666666667
configuration_5x5_5x5,17,"conv5x5,conv5x5",0.8584,0.8528
configuration_5x5_5x5,18,"conv5x5,conv5x5",0.8605,0.8553333333333333
configuration_5x5_5x5,19,"conv5x5,conv5x5",0.861,0.8572833333333333
configuration_5x5_5x5,20,"conv5x5,conv5x5",0.8647,0.85945
configuration_5x5_5x5,21,"conv5x5,conv5x5",0.8658,0.8612833333333333
configuration_5x5_5x5,22,"conv5x5,conv5x5",0.8666,0.86285
configuration_5x5_5x5,23,"conv5x5,conv5x5",0.8677,0.8646
configuration_5x5_5x5,24,"conv5x5,conv5x5",0.87,0.866
configuration_5x5_5x5,25,"conv5x5,conv5x5",0.8717,0.8682666666666666
configuration_5x5_5x5,26,"conv5x5,conv5x5",0.8716,0.8694333333333333
configuration_5x5_5x5,27,"conv5x5,conv5x5",0.8736,0.8709333333333333
configuration_5x5_5x5,28,"conv5x5,conv5x5",0.8746,0.87125
configuration_5x5_5x5,29,"conv5x5,conv5x5",0.8762,0.8733666666666666
configuration_5x5_5x5,30,"conv5x5,conv5x5",0.8761,0.87435
configuration_5x5_5x5,31,"conv5x5,conv5x5",0.8773,0.8755833333333334
configuration_5x5_5x5,32,"conv5x5,conv5x5",0.8781,0.8764833333333333
configuration_5x5_5x5,33,"conv5x5,conv5x5",0.8794,0.8773666666666666
configuration_5x5_5x5,34,"conv5x5,conv5x5",0.8809,0.8781833333333333
configuration_5x5_5x5,35,"conv5x5,conv5x5",0.8811,0.8794333333333333
configuration_5x5_5x5,36,"conv5x5,conv5x5",0.8822,0.88005
configuration_5x5_5x5,37,"conv5x5,conv5x5",0.8823,0.8809833333333333
configuration_5x5_5x5,38,"conv5x5,conv5x5",0.883,0.8816333333333334
configuration_5x5_5x5,39,"conv5x5,conv5x5",0.8838,0.8825333333333333
configuration_5x5_5x5,40,"conv5x5,conv5x5",0.8841,0.88285
