experiment,epoch,configuration,val_accuracy,train_accuracy
configuration_5x5_3x3,1,"conv5x5,conv3x3",0.4931,0.50035
configuration_5x5_3x3,2,"conv5x5,conv3x3",0.4583,0.4602833333333333
configuration_5x5_3x3,3,"conv5x5,conv3x3",0.5081,0.50785
configuration_5x5_3x3,4,"conv5x5,conv3x3",0.7154,0.7047166666666667
configuration_5x5_3x3,5,"conv5x5,conv3x3",0.7314,0.7197666666666667
configuration_5x5_3x3,6,"conv5x5,conv3x3",0.7433,0.7333666666666666
configuration_5x5_3x3,7,"conv5x5,conv3x3",0.7541,0.74775
configuration_5x5_3x3,8,"conv5x5,conv3x3",0.807,0.80045
configuration_5x5_3x3,9,"conv5x5,conv3x3",0.8319,0.8261833333333334
configuration_5x5_3x3,10,"conv5x5,conv3x3",0.8405,0.83435
configuration_5x5_3x3,11,"conv5x5,conv3x3",0.8457,0.8395333333333334
configuration_5x5_3x3,12,"conv5x5,conv3x3",0.8494,0.8435666666666667
configuration_5x5_3x3,13,"conv5x5,conv3x3",0.8791,0.8741166666666667
configuration_5x5_3x3,14,"conv5x5,conv3x3",0.9119,0.90595
configuration_5x5_3x3,15,"conv5x5,conv3x3",0.9231,0.9182
configuration_5x5_3x3,16,"conv5x5,conv3x3",0.929,0.92545
configuration_5x5_3x3,17,"conv5x5,conv3x3",0.9349,0.931
configuration_5x5_3x3,18,"conv5x5,conv3x3",0.937,0.9345833333333333
configuration_5x5_3x3,19,"conv5x5,conv3x3",0.9405,0.9383833333333333
configuration_5x5_3x3,20,"conv5x5,conv3x3",0.9446,0.941
configuration_5x5_3x3,21,"conv5x5,conv3x3",0.9456,0.9435333333333333
configuration_5x5_3x3,22,"conv5x5,conv3x3",0.948,0.9459333333333333
configuration_5x5_3x3,23,"conv5x5,conv3x3",0.9503,0.94865
configuration_5x5_3x3,24,"conv5x5,conv3x3",0.9533,0.9509166666666666
configuration_5x5_3x3,25,"conv5x5,conv3x3",0.9544,0.95285
configuration_5x5_3x3,26,"conv5x5,conv3x3",0.9578,0.9546666666666667
configuration_5x5_3x3,27,"conv5x5,conv3x3",0.9604,0.9560833333333333
configuration_5x5_3x3,28,"conv5x5,conv3x3",0.9609,0.9573666666666667
configuration_5x5_3x3,29,"conv5x5,conv3x3",0.9622,0.9595
configuration_5x5_3x3,30,"conv5x5,conv3x3",0.963,0.9607833333333333
configuration_5x5_3x3,31,"conv5x5,conv3x3",0.9642,0.96225
configuration_5x5_3x3,32,"conv5x5,conv3x3",0.9657,0.9632
configuration_5x5_3x3,33,"conv5x5,conv3x3",0.9667,0.9642666666666667
configuration_5x5_3x3,34,"conv5x5,conv3x3",0.9677,0.9652
configuration_5x5_3x3,35,"conv5x5,conv3x3",0.9681,0.9664833333333334
configuration_5x5_3x3,36,"conv5x5,conv3x3",0.97,0.9673333333333334
configuration_5x5_3x3,37,"conv5x5,conv3x3",0.9706,0.9682833333333334
configuration_5x5_3x3,38,"conv5x5,conv3x3",0.9719,0.9689333333333333
configuration_5x5_3x3,39,"conv5x5,conv3x3",0.9727,0.97015
