experiment,epoch,configuration,val_accuracy,train_accuracy
configuration_3x3_5x5,1,"conv3x3,conv5x5",0.4674,0.47601666666666664
configuration_3x3_5x5,2,"conv3x3,conv5x5",0.4415,0.4438666666666667
configuration_3x3_5x5,3,"conv3x3,conv5x5",0.4859,0.48305
configuration_3x3_5x5,4,"conv3x3,conv5x5",0.6407,0.6361666666666667
configuration_3x3_5x5,5,"conv3x3,conv5x5",0.6511,0.6493833333333333
configuration_3x3_5x5,6,"conv3x3,conv5x5",0.6608,0.6571833333333333
configuration_3x3_5x5,7,"conv3x3,conv5x5",0.6672,0.6644
configuration_3x3_5x5,8,"conv3x3,conv5x5",0.7016,0.69915
configuration_3x3_5x5,9,"conv3x3,conv5x5",0.7424,0.7345666666666667
configuration_3x3_5x5,10,"conv3x3,conv5x5",0.818,0.8050666666666667
configuration_3x3_5x5,11,"conv3x3,conv5x5",0.8269,0.8158
configuration_3x3_5x5,12,"conv3x3,conv5x5",0.8391,0.8276166666666667
configuration_3x3_5x5,13,"conv3x3,conv5x5",0.8423,0.8332833333333334
configuration_3x3_5x5,14,"conv3x3,conv5x5",0.8474,0.8378166666666667
configuration_3x3_5x5,15,"conv3x3,conv5x5",0.8491,0.8418166666666667
configuration_3x3_5x5,16,"conv3x3,conv5x5",0.8524,0.8448166666666667
configuration_3x3_5x5,17,"conv3x3,conv5x5",0.8546,0.84715
configuration_3x3_5x5,18,"conv3x3,conv5x5",0.8563,0.85
configuration_3x3_5x5,19,"conv3x3,conv5x5",0.8577,0.8522
configuration_3x3_5x5,20,"conv3x3,conv5x5",0.8606,0.8544666666666667
configuration_3x3_5x5,21,"conv3x3,conv5x5",0.8626,0.85635
configuration_3x3_5x5,22,"conv3x3,conv5x5",0.8642,0.85805
configuration_3x3_5x5,23,"conv3x3,conv5x5",0.8645,0.8601666666666666
configuration_3x3_5x5,24,"conv3x3,conv5x5",0.8657,0.8618166666666667
configuration_3x3_5x5,25,"conv3x3,conv5x5",0.8668,0.8641666666666666
configuration_3x3_5x5,26,"conv3x3,conv5x5",0.917,0.9121166666666667
configuration_3x3_5x5,27,"conv3x3,conv5x5",0.9405,0.9370166666666667
configuration_3x3_5x5,28,"conv3x3,conv5x5",0.946,0.9427833333333333
configuration_3x3_5x5,29,"conv3x3,conv5x5",0.9494,0.9469333333333333
configuration_3x3_5x5,30,"conv3x3,conv5x5",0.9527,0.9495
configuration_3x3_5x5,31,"conv3x3,conv5x5",0.9536,0.95145
configuration_3x3_5x5,32,"conv3x3,conv5x5",0.9558,0.9535666666666667
configuration_3x3_5x5,33,"conv3x3,conv5x5",0.9575,0.95545
configuration_3x3_5x5,34,"conv3x3,conv5x5",0.9584,0.9572166666666667
configuration_3x3_5x5,35,"conv3x3,conv5x5",0.9605,0.95905
configuration_3x3_5x5,36,"conv3x3,conv5x5",0.9619,0.9603333333333334
configuration_3x3_5x5,37,"conv3x3,conv5x5",0.9629,0.9613666666666667
configuration_3x3_5x5,38,"conv3x3,conv5x5",0.9647,0.9624666666666667
configuration_3x3_5x5,39,"conv3x3,conv5x5",0.9661,0.9634333333333334
configuration_3x3_5x5,40,"conv3x3,conv5x5",0.9668,0.9646
configuration_3x3_5x5,41,"conv3x3,conv5x5",0.9675,0.9654166666666667
configuration_3x3_5x5,42,"conv3x3,conv5x5",0.9686,0.9661333333333333
configuration_3x3_5x5,43,"conv3x3,conv5x5",0.9703,0.9672333333333333
configuration_3x3_5x5,44,"conv3x3,conv5x5",0.9705,0.9679666666666666
configuration_3x3_5x5,45,"conv3x3,conv5x5",0.9711,0.9687833333333333
configuration_3x3_5x5,46,"conv3x3,conv5x5",0.9712,0.96925
configuration_3x3_5x5,47,"conv3x3,conv5x5",0.9727,0.9702
configuration_3x3_5x5,48,"conv3x3,conv5x5",0.9723,0.9706166666666667
configuration_3x3_5x5,49,"conv3x3,conv5x5",0.9731,0.9714
configuration_3x3_5x5,50,"conv3x3,conv5x5",0.9742,0.9719333333333333
configuration_3x3_5x5,51,"conv3x3,conv5x5",0.9742,0.9723166666666667
configuration_3x3_5x5,52,"conv3x3,conv5x5",0.9742,0.97275
configuration_3x3_5x5,53,"conv3x3,conv5x5",0.9745,0.9734166666666667
configuration_3x3_5x5,54,"conv3x3,conv5x5",0.9744,0.9733
configuration_3x3_5x5,55,"conv3x3,conv5x5",0.9755,0.9741333333333333
configuration_3x3_5x5,56,"conv3x3,conv5x5",0.9753,0.9743833333333334
configuration_3x3_5x5,57,"conv3x3,conv5x5",0.9755,0.9747666666666667
configuration_3x3_5x5,58,"conv3x3,conv5x5",0.9761,0.9751833333333333
configuration_3x3_5x5,59,"conv3x3,conv5x5",0.9762,0.9754166666666667
configuration_3x3_5x5,60,"conv3x3,conv5x5",0.9771,0.9762833333333333
configuration_3x3_5x5,61,"conv3x3,conv5x5",0.9777,0.9765666666666667
configuration_3x3_5x5,62,"conv3x3,conv5x5",0.9778,0.97675
configuration_3x3_5x5,63,"conv3x3,conv5x5",0.9785,0.9768833333333333
configuration_3x3_5x5,64,"conv3x3,conv5x5",0.9776,0.9773333333333334
configuration_3x3_5x5,65,"conv3x3,conv5x5",0.9785,0.9778166666666667
configuration_3x3_5x5,66,"conv3x3,conv5x5",0.9785,0.97835
configuration_3x3_5x5,67,"conv3x3,conv5x5",0.9789,0.97855
configuration_3x3_5x5,68,"conv3x3,conv5x5",0.9791,0.9786333333333334
configuration_3x3_5x5,69,"conv3x3,conv5x5",0.9799,0.979
configuration_3x3_5x5,70,"conv3x3,conv5x5",0.9795,0.9790833333333333
configuration_3x3_5x5,71,"conv3x3,conv5x5",0.9799,0.9794166666666667
configuration_3x3_5x5,72,"conv3x3,conv5x5",0.9796,0.9794833333333334
configuration_3x3_5x5,73,"conv3x3,conv5x5",0.9801,0.98
configuration_3x3_5x5,74,"conv3x3,conv5x5",0.9809,0.9804833333333334
configuration_3x3_5x5,75,"conv3x3,conv5x5",0.98,0.9804333333333334
configuration_3x3_5x5,76,"conv3x3,conv5x5",0.9806,0.9807166666666667
configuration_3x3_5x5,77,"conv3x3,conv5x5",0.982,0.9812
configuration_3x3_5x5,78,"conv3x3,conv5x5",0.9816,0.9814166666666667
configuration_3x3_5x5,79,"conv3x3,conv5x5",0.981,0.98155
configuration_3x3_5x5,80,"conv3x3,conv5x5",0.981,0.9818333333333333
configuration_3x3_5x5,81,"conv3x3,conv5x5",0.9821,0.9821166666666666
configuration_3x3_5x5,82,"conv3x3,conv5x5",0.9815,0.982
configuration_3x3_5x5,83,"conv3x3,conv5x5",0.9815,0.9823166666666666
configuration_3x3_5x5,84,"conv3x3,conv5x5",0.9819,0.9826666666666667
configuration_3x3_5x5,85,"conv3x3,conv5x5",0.9831,0.98315
configuration_3x3_5x5,86,"conv3x3,conv5x5",0.9829,0.9829833333333333
configuration_3x3_5x5,87,"conv3x3,conv5x5",0.9833,0.9832166666666666
configuration_3x3_5x5,88,"conv3x3,conv5x5",0.9823,0.98355
configuration_3x3_5x5,89,"conv3x3,conv5x5",0.9844,0.98375
configuration_3x3_5x5,90,"conv3x3,conv5x5",0.9828,0.9837833333333333
configuration_3x3_5x5,91,"conv3x3,conv5x5",0.9835,0.9839833333333333
configuration_3x3_5x5,92,"conv3x3,conv5x5",0.9826,0.9844666666666667
configuration_3x3_5x5,93,"conv3x3,conv5x5",0.9841,0.9844833333333334
configuration_3x3_5x5,94,"conv3x3,conv5x5",0.984,0.9845666666666667
configuration_3x3_5x5,95,"conv3x3,conv5x5",0.983,0.9849
configuration_3x3_5x5,96,"conv3x3,conv5x5",0.9837,0.9850166666666667
configuration_3x3_5x5,97,"conv3x3,conv5x5",0.984,0.9853333333333333
configuration_3x3_5x5,98,"conv3x3,conv5x5",0.9838,0.9853833333333334
configuration_3x3_5x5,99,"conv3x3,conv5x5",0.9837,0.98545
configuration_3x3_5x5,100,"conv3x3,conv5x5",0.9844,0.9858166666666667
configuration_3x3_5x5,101,"conv3x3,conv5x5",0.9844,0.9859
configuration_3x3_5x5,102,"conv3x3,conv5x5",0.9844,0.9857666666666667
configuration_3x3_5x5,103,"conv3x3,conv5x5",0.9853,0.98595
configuration_3x3_5x5,104,"conv3x3,conv5x5",0.9851,0.9862
configuration_3x3_5x5,105,"conv3x3,conv5x5",0.9856,0.9863333333333333
configuration_3x3_5x5,106,"conv3x3,conv5x5",0.9856,0.9864833333333334
configuration_3x3_5x5,107,"conv3x3,conv5x5",0.9855,0.9864333333333334
configuration_3x3_5x5,108,"conv3x3,conv5x5",0.9856,0.9866166666666667
configuration_3x3_5x5,109,"conv3x3,conv5x5",0.9851,0.9868666666666667
configuration_3x3_5x5,110,"conv3x3,conv5x5",0.9857,0.9871166666666666
configuration_3x3_5x5,111,"conv3x3,conv5x5",0.9847,0.98705
configuration_3x3_5x5,112,"conv3x3,conv5x5",0.9847,0.98715
configuration_3x3_5x5,113,"conv3x3,conv5x5",0.9852,0.9875
configuration_3x3_5x5,114,"conv3x3,conv5x5",0.9856,0.9876666666666667
configuration_3x3_5x5,115,"conv3x3,conv5x5",0.9855,0.9876833333333334
configuration_3x3_5x5,116,"conv3x3,conv5x5",0.9857,0.9876666666666667
configuration_3x3_5x5,117,"conv3x3,conv5x5",0.9861,0.9878333333333333
configuration_3x3_5x5,118,"conv3x3,conv5x5",0.9857,0.9879166666666667
configuration_3x3_5x5,119,"conv3x3,conv5x5",0.9858,0.9881833333333333
configuration_3x3_5x5,120,"conv3x3,conv5x5",0.9865,0.9881166666666666
configuration_3x3_5x5,121,"conv3x3,conv5x5",0.986,0.9881666666666666
configuration_3x3_5x5,122,"conv3x3,conv5x5",0.9857,0.9883666666666666
configuration_3x3_5x5,123,"conv3x3,conv5x5",0.9857,0.9887
configuration_3x3_5x5,124,"conv3x3,conv5x5",0.9855,0.9886666666666667
configuration_3x3_5x5,125,"conv3x3,conv5x5",0.9859,0.9886666666666667
configuration_3x3_5x5,126,"conv3x3,conv5x5",0.9859,0.9888166666666667
configuration_3x3_5x5,127,"conv3x3,conv5x5",0.9864,0.9891666666666666
configuration_3x3_5x5,128,"conv3x3,conv5x5",0.986,0.9891
configuration_3x3_5x5,129,"conv3x3,conv5x5",0.9863,0.9892833333333333
configuration_3x3_5x5,130,"conv3x3,conv5x5",0.9865,0.98915
configuration_3x3_5x5,131,"conv3x3,conv5x5",0.9866,0.9895333333333334
configuration_3x3_5x5,132,"conv3x3,conv5x5",0.9862,0.98935
configuration_3x3_5x5,133,"conv3x3,conv5x5",0.9867,0.9896333333333334
configuration_3x3_5x5,134,"conv3x3,conv5x5",0.987,0.9897833333333333
configuration_3x3_5x5,135,"conv3x3,conv5x5",0.9867,0.98975
configuration_3x3_5x5,136,"conv3x3,conv5x5",0.9862,0.9897166666666667
configuration_3x3_5x5,137,"conv3x3,conv5x5",0.9865,0.9901
configuration_3x3_5x5,138,"conv3x3,conv5x5",0.9872,0.9901333333333333
configuration_3x3_5x5,139,"conv3x3,conv5x5",0.9864,0.99005
configuration_3x3_5x5,140,"conv3x3,conv5x5",0.9867,0.9902666666666666
configuration_3x3_5x5,141,"conv3x3,conv5x5",0.9866,0.9901833333333333
configuration_3x3_5x5,142,"conv3x3,conv5x5",0.9864,0.9903
configuration_3x3_5x5,143,"conv3x3,conv5x5",0.9868,0.9903
configuration_3x3_5x5,144,"conv3x3,conv5x5",0.9866,0.9906333333333334
configuration_3x3_5x5,145,"conv3x3,conv5x5",0.9863,0.99055
configuration_3x3_5x5,146,"conv3x3,conv5x5",0.9864,0.99075
configuration_3x3_5x5,147,"conv3x3,conv5x5",0.9863,0.9908166666666667
configuration_3x3_5x5,148,"conv3x3,conv5x5",0.9868,0.9908666666666667
configuration_3x3_5x5,149,"conv3x3,conv5x5",0.9866,0.9907666666666667
configuration_3x3_5x5,150,"conv3x3,conv5x5",0.9859,0.9908
configuration_3x3_5x5,151,"conv3x3,conv5x5",0.9864,0.99095
configuration_3x3_5x5,152,"conv3x3,conv5x5",0.9872,0.9909666666666667
configuration_3x3_5x5,153,"conv3x3,conv5x5",0.9866,0.99125
configuration_3x3_5x5,154,"conv3x3,conv5x5",0.987,0.9913666666666666
configuration_3x3_5x5,155,"conv3x3,conv5x5",0.9869,0.9911166666666666
configuration_3x3_5x5,156,"conv3x3,conv5x5",0.9875,0.9912833333333333
configuration_3x3_5x5,157,"conv3x3,conv5x5",0.9863,0.9914666666666667
configuration_3x3_5x5,158,"conv3x3,conv5x5",0.9867,0.9914166666666666
configuration_3x3_5x5,159,"conv3x3,conv5x5",0.9867,0.99145
configuration_3x3_5x5,160,"conv3x3,conv5x5",0.9866,0.9916166666666667
configuration_3x3_5x5,161,"conv3x3,conv5x5",0.9871,0.9916166666666667
configuration_3x3_5x5,162,"conv3x3,conv5x5",0.9867,0.99165
configuration_3x3_5x5,163,"conv3x3,conv5x5",0.9864,0.9916833333333334
configuration_3x3_5x5,164,"conv3x3,conv5x5",0.9872,0.9916666666666667
configuration_3x3_5x5,165,"conv3x3,conv5x5",0.9864,0.9918333333333333
configuration_3x3_5x5,166,"conv3x3,conv5x5",0.9872,0.9918666666666667
configuration_3x3_5x5,167,"conv3x3,conv5x5",0.9873,0.9919833333333333
configuration_3x3_5x5,168,"conv3x3,conv5x5",0.9868,0.9920833333333333
configuration_3x3_5x5,169,"conv3x3,conv5x5",0.9869,0.9920333333333333
configuration_3x3_5x5,170,"conv3x3,conv5x5",0.9875,0.9920666666666667
configuration_3x3_5x5,171,"conv3x3,conv5x5",0.9873,0.9921333333333333
configuration_3x3_5x5,172,"conv3x3,conv5x5",0.987,0.9920666666666667
configuration_3x3_5x5,173,"conv3x3,conv5x5",0.9877,0.9922
configuration_3x3_5x5,174,"conv3x3,conv5x5",0.9875,0.9923
configuration_3x3_5x5,175,"conv3x3,conv5x5",0.9871,0.9923666666666666
configuration_3x3_5x5,176,"conv3x3,conv5x5",0.9883,0.99235
configuration_3x3_5x5,177,"conv3x3,conv5x5",0.9878,0.9924333333333333
configuration_3x3_5x5,178,"conv3x3,conv5x5",0.9873,0.9926
configuration_3x3_5x5,179,"conv3x3,conv5x5",0.9875,0.9927
configuration_3x3_5x5,180,"conv3x3,conv5x5",0.9872,0.9927166666666667
configuration_3x3_5x5,181,"conv3x3,conv5x5",0.9878,0.9927166666666667
configuration_3x3_5x5,182,"conv3x3,conv5x5",0.9879,0.9928333333333333
configuration_3x3_5x5,183,"conv3x3,conv5x5",0.9881,0.9928833333333333
configuration_3x3_5x5,184,"conv3x3,conv5x5",0.9873,0.9928666666666667
configuration_3x3_5x5,185,"conv3x3,conv5x5",0.987,0.9928333333333333
configuration_3x3_5x5,186,"conv3x3,conv5x5",0.9876,0.99285
configuration_3x3_5x5,187,"conv3x3,conv5x5",0.988,0.9930166666666667
configuration_3x3_5x5,188,"conv3x3,conv5x5",0.9882,0.9929833333333333
configuration_3x3_5x5,189,"conv3x3,conv5x5",0.9879,0.9931333333333333
configuration_3x3_5x5,190,"conv3x3,conv5x5",0.9873,0.99315
configuration_3x3_5x5,191,"conv3x3,conv5x5",0.988,0.9932166666666666
configuration_3x3_5x5,192,"conv3x3,conv5x5",0.9887,0.99325
configuration_3x3_5x5,193,"conv3x3,conv5x5",0.988,0.9933333333333333
configuration_3x3_5x5,194,"conv3x3,conv5x5",0.9878,0.99335
configuration_3x3_5x5,195,"conv3x3,conv5x5",0.988,0.9933666666666666
configuration_3x3_5x5,196,"conv3x3,conv5x5",0.9879,0.9933833333333333
configuration_3x3_5x5,197,"conv3x3,conv5x5",0.9881,0.9934166666666666
configuration_3x3_5x5,198,"conv3x3,conv5x5",0.9877,0.99345
configuration_3x3_5x5,199,"conv3x3,conv5x5",0.9878,0.9935
configuration_3x3_5x5,200,"conv3x3,conv5x5",0.988,0.9934
configuration_3x3_5x5,201,"conv3x3,conv5x5",0.9886,0.9936833333333334
configuration_3x3_5x5,202,"conv3x3,conv5x5",0.9878,0.9935833333333334
configuration_3x3_5x5,203,"conv3x3,conv5x5",0.9881,0.99365
configuration_3x3_5x5,204,"conv3x3,conv5x5",0.9879,0.9936166666666667
configuration_3x3_5x5,205,"conv3x3,conv5x5",0.988,0.9937666666666667
configuration_3x3_5x5,206,"conv3x3,conv5x5",0.9886,0.9938
configuration_3x3_5x5,207,"conv3x3,conv5x5",0.9886,0.9938333333333333
configuration_3x3_5x5,208,"conv3x3,conv5x5",0.9885,0.9939166666666667
configuration_3x3_5x5,209,"conv3x3,conv5x5",0.9885,0.9939
configuration_3x3_5x5,210,"conv3x3,conv5x5",0.9887,0.9939333333333333
configuration_3x3_5x5,211,"conv3x3,conv5x5",0.9886,0.9940166666666667
configuration_3x3_5x5,212,"conv3x3,conv5x5",0.9886,0.9939666666666667
configuration_3x3_5x5,213,"conv3x3,conv5x5",0.9886,0.994
configuration_3x3_5x5,214,"conv3x3,conv5x5",0.9882,0.994
configuration_3x3_5x5,215,"conv3x3,conv5x5",0.9883,0.9939333333333333
configuration_3x3_5x5,216,"conv3x3,conv5x5",0.9879,0.9941
configuration_3x3_5x5,217,"conv3x3,conv5x5",0.9887,0.9940833333333333
configuration_3x3_5x5,218,"conv3x3,conv5x5",0.9877,0.9941333333333333
configuration_3x3_5x5,219,"conv3x3,conv5x5",0.9884,0.99415
configuration_3x3_5x5,220,"conv3x3,conv5x5",0.9886,0.9941833333333333
configuration_3x3_5x5,221,"conv3x3,conv5x5",0.9883,0.9941
configuration_3x3_5x5,222,"conv3x3,conv5x5",0.9881,0.9941
configuration_3x3_5x5,223,"conv3x3,conv5x5",0.9881,0.9941
configuration_3x3_5x5,224,"conv3x3,conv5x5",0.9889,0.99425
configuration_3x3_5x5,225,"conv3x3,conv5x5",0.9885,0.9942
configuration_3x3_5x5,226,"conv3x3,conv5x5",0.9888,0.9942833333333333
configuration_3x3_5x5,227,"conv3x3,conv5x5",0.9886,0.9943333333333333
configuration_3x3_5x5,228,"conv3x3,conv5x5",0.9886,0.9942666666666666
configuration_3x3_5x5,229,"conv3x3,conv5x5",0.9882,0.9943666666666666
configuration_3x3_5x5,230,"conv3x3,conv5x5",0.9887,0.99435
configuration_3x3_5x5,231,"conv3x3,conv5x5",0.989,0.99435
configuration_3x3_5x5,232,"conv3x3,conv5x5",0.9876,0.9944666666666667
configuration_3x3_5x5,233,"conv3x3,conv5x5",0.9883,0.9944666666666667
configuration_3x3_5x5,234,"conv3x3,conv5x5",0.9883,0.9944333333333333
configuration_3x3_5x5,235,"conv3x3,conv5x5",0.9884,0.9945166666666667
configuration_3x3_5x5,236,"conv3x3,conv5x5",0.9886,0.99445
configuration_3x3_5x5,237,"conv3x3,conv5x5",0.9891,0.9945333333333334
configuration_3x3_5x5,238,"conv3x3,conv5x5",0.989,0.9945
configuration_3x3_5x5,239,"conv3x3,conv5x5",0.9891,0.9945833333333334
configuration_3x3_5x5,240,"conv3x3,conv5x5",0.989,0.9946166666666667
configuration_3x3_5x5,241,"conv3x3,conv5x5",0.9892,0.9945833333333334
configuration_3x3_5x5,242,"conv3x3,conv5x5",0.989,0.9946
configuration_3x3_5x5,243,"conv3x3,conv5x5",0.9886,0.9946833333333334
configuration_3x3_5x5,244,"conv3x3,conv5x5",0.9885,0.9946833333333334
configuration_3x3_5x5,245,"conv3x3,conv5x5",0.9886,0.99465
configuration_3x3_5x5,246,"conv3x3,conv5x5",0.9889,0.9947166666666667
configuration_3x3_5x5,247,"conv3x3,conv5x5",0.9885,0.9947833333333334
configuration_3x3_5x5,248,"conv3x3,conv5x5",0.9888,0.9948166666666667
configuration_3x3_5x5,249,"conv3x3,conv5x5",0.9885,0.9947333333333334
configuration_3x3_5x5,250,"conv3x3,conv5x5",0.9887,0.9948
